,Ingredients,Quantity
0,Barbecued Chicken,40
1,Red Peppers,250
2,Green Peppers,82
3,Tomatoes,399
4,Red Onions,295
5,Barbecue Sauce,40
6,Chicken,130
7,Artichoke,38
8,Spinach,150
9,Garlic,407
10,Jalapeno Peppers,89
11,Fontina Cheese,51
12,Gouda Cheese,38
13,Mushrooms,143
14,Asiago Cheese,46
15,Alfredo Sauce,12
16,Pesto Sauce,40
17,Corn,51
18,Cilantro,51
19,Chipotle Sauce,51
20,Pineapple,76
21,Thai Sweet Chilli Sauce,37
22,Bacon,71
23,Pepperoni,162
24,Italian Sausage,31
25,Chorizo Sausage,31
26,Sliced Ham,39
27,Mozzarella Cheese,162
28,Capocollo,98
29,Goat Cheese,50
30,Oregano,21
31,Anchovies,21
32,Green Olives,91
33,Kalamata Olives,47
34,Feta Cheese,70
35,Beef Chuck Roast,21
36,Brie Carre Cheese,6
37,Prosciutto,6
38,Caramelized Onions,6
39,Pears,6
40,Thyme,6
41,Â‘Nduja Salami,12
42,Pancetta,12
43,Friggitello Peppers,12
44,Calabrese Salami,27
45,Genoa Salami,21
46,Prosciutto di San Daniele,22
47,Arugula,22
48,Coarse Sicilian Salami,29
49,Luganega Sausage,29
50,Onions,29
51,Soppressata Salami,13
52,Artichokes,82
53,Peperoncini verdi,29
54,Provolone Cheese,21
55,Smoked Gouda Cheese,21
56,Romano Cheese,21
57,Blue Cheese,21
58,Ricotta Cheese,29
59,Gorgonzola Piccante Cheese,29
60,Parmigiano Reggiano Cheese,29
61,Eggplant,13
62,Zucchini,36
63,Sun-dried Tomatoes,27
64,Plum Tomatoes,13
